time,voltage,prim,bis,channel,stim
0.0748,1.1537763786229211e-05,-8.689066375001345e-08,3.678130048915305e-08,0,a
0.0749,1.1804367114868091e-05,-5.2416641842644715e-08,1.8602472591039608e-08,0,a
0.075,1.0497199133368159e-05,-1.747698866342132e-07,2.8728292345709408e-08,0,a
0.0751,1.1013454126326568e-05,-7.057867128852402e-10,9.499062150621961e-08,0,a
0.0752,1.1802249754729437e-05,2.3255522267601413e-07,2.557732004876324e-07,0,a
0.0753,1.11948648013962e-05,5.925497148286841e-07,-4.092586414357234e-08,0,a
0.0754,1.2791103270812624e-05,-1.2348337914360228e-07,-1.2715808796345845e-08,0,a
0.0755,1.143179961729863e-05,1.9440779628697657e-07,-1.4298040375927415e-07,0,a
0.0756,1.1778088190257128e-05,1.6360850355086157e-07,2.020377679861592e-07,0,a
0.0757,1.3281928781465207e-05,4.826299248148753e-07,-2.0820678784567815e-07,0,a
0.0758,1.287968939174326e-05,-4.3021256725005776e-07,-1.8235218384870895e-07,0,a
0.0759,1.0487450488506954e-05,-3.834480479952653e-07,-2.3307349580715e-07,0,a
0.076,1.2131584637479409e-05,-2.1659056260657473e-07,3.1275790253706464e-07,0,a
0.0761,1.2229917703923535e-05,5.080611403611362e-07,3.494468466041821e-08,0,a
0.0762,1.2011633909590365e-05,-2.786139940140107e-07,1.3845967316520633e-07,0,a
0.0763,1.1295742655437377e-05,1.9878845688904425e-07,-1.1010826917131352e-07,0,a
0.0764,1.2826283074590666e-05,1.7773633284719567e-07,1.8202210114669002e-07,0,a
0.0765,1.2544842908131952e-05,2.6745230942605936e-07,-1.5192870418680197e-07,0,a
0.0766,1.2098099583715553e-05,-2.569976556713616e-07,-2.3170736053239918e-07,0,a
0.0767,1.2055290107576585e-05,-5.173857487500018e-07,2.0910264138848233e-08,0,a
0.0768,1.0992685661881946e-05,3.3018310184260406e-07,2.3029467943675164e-07,0,a
0.0769,1.3088648889243364e-05,4.338863826388934e-07,4.6496912362659544e-07,0,a
0.077,1.3356949255493267e-05,8.775216221297844e-07,-2.758826165910783e-07,0,a
0.0771,1.3625250528271298e-05,-4.974647479306309e-07,-4.046404253549547e-07,0,a
0.0772,1.159625464545147e-05,-7.800348934259707e-07,-3.316902378318556e-07,0,a
0.0773,1.1016844575215358e-05,-1.1754909136578231e-07,2.538422473164125e-07,0,a
0.0774,1.3272603254173947e-05,2.640619940186065e-07,4.374658103210313e-07,0,a
0.0775,1.238844062750729e-05,5.323625375371232e-07,-1.6200771010833304e-08,0,a
0.0776,1.261393218782673e-05,-1.661514043982822e-07,-1.6087654609572728e-07,0,a
0.0777,1.27741490409791e-05,-2.1856764426857536e-07,-8.382934419141132e-08,0,a
0.0778,1.1732737694701564e-05,2.8087450496288925e-07,2.7833284838011487e-08,0,a
0.0779,1.3456555702715399e-05,-8.265154988424773e-08,1.8668438366357693e-07,0,a
0.078,1.2526194391326354e-05,3.414855067221555e-07,-1.5338829393362245e-07,0,a
0.0781,1.2757194214868031e-05,-1.792903768379781e-07,2.326489414354601e-08,0,a
0.0782,1.2918684572201464e-05,-1.285686745360969e-08,-1.3902438212496968e-07,0,a
0.0783,1.2487623788965527e-05,-7.558763965275357e-08,1.8894500678087035e-07,0,a
0.0784,1.253043129590977e-05,3.8754464350463295e-07,9.984132963730002e-08,0,a
0.0785,1.4081318502715361e-05,2.8666712145829035e-07,1.6346699349229692e-07,0,a
0.0786,1.3347625153340396e-05,4.1481334082413716e-07,-2.4715464803087383e-07,0,a
0.0787,1.3774871318382185e-05,-3.539193005879885e-07,-2.619894770061424e-07,0,a
0.0788,1.3019560600951394e-05,-4.99301309560137e-07,-5.6466904978431654e-08,0,a
0.0789,1.1849721224659985e-05,2.4541262588884225e-07,1.749581422746801e-07,0,a
0.079,1.4511109196048712e-05,1.7095512623605177e-07,3.086606817808193e-07,0,a
0.0791,1.3532425979659551e-05,4.266807357823211e-07,-1.0130174629935536e-07,0,a
0.0792,1.3129763432006945e-05,-5.8492613009223916e-08,2.1522418904364432e-08,0,a
0.0793,1.4335631357021043e-05,2.355223829491451e-07,4.2150181993934253e-08,0,a
0.0794,1.4238993128506985e-05,5.531312817641238e-07,-1.9506734604169207e-07,0,a
0.0795,1.4789157277299315e-05,-6.436946511343001e-07,-2.609536260694732e-07,0,a
0.0796,1.2404547403618147e-05,-5.473384952592745e-07,-2.0783045095846558e-07,0,a
0.0797,1.2596977642729161e-05,-7.036007111127291e-08,4.109039595709764e-07,0,a
0.0798,1.4578077063965494e-05,5.890172275786291e-07,3.5665064771605113e-07,0,a
0.0799,1.4171599086354035e-05,5.22613447888879e-07,1.384584393522082e-08,0,a
0.08,1.4164817986395797e-05,-2.8822539305610508e-08,-1.2291782840889105e-07,0,a
0.0801,1.4491609446048661e-05,2.2026374235195596e-07,-2.0410991927777354e-07,0,a
0.0802,1.4832390313409905e-05,-8.971630994444167e-08,-9.070487713729774e-08,0,a
0.0803,1.3895669056562473e-05,-3.009371707175037e-07,-1.3549255766671243e-07,0,a
0.0804,1.3588797933896148e-05,-1.862139306481813e-07,2.780494025355233e-07,0,a
0.0805,1.4273748521465361e-05,7.444318976621282e-07,2.6401474320672675e-07,0,a
0.0806,1.6128964749548856e-05,4.911070589026765e-07,6.922975624232232e-08,0,a
0.0807,1.5062119110604178e-05,2.1475338078785744e-08,-3.817528275880056e-07,0,a
0.0808,1.4338174535701718e-05,-4.0082658510188856e-07,-1.454766472113663e-07,0,a
0.0809,1.492648499424319e-05,5.467711726857761e-08,-5.453604604171415e-08,0,a
0.081,1.5226150462409912e-05,-1.421328000463567e-07,1.9987168514355014e-07,0,a
0.0811,1.3911776135562648e-05,1.9878847032876187e-07,-2.2040388314852945e-08,0,a
0.0812,1.5522850405229476e-05,-1.1444047675981226e-08,5.1239424567914736e-08,0,a
0.0813,1.5191818319381967e-05,1.1585473657387514e-08,-1.4439347150775965e-07,0,a
0.0814,1.3946532556534813e-05,-2.3439194419451713e-07,4.860217850002717e-08,0,a
0.0815,1.4819674572645926e-05,1.3436248782410029e-07,1.5343540319910823e-07,0,a
0.0816,1.5594905782854266e-05,4.718916832547122e-07,2.5266473811115605e-07,0,a
0.0817,1.5362207606298946e-05,5.23602270138951e-07,-1.328080609568029e-07,0,a
0.0818,1.6390481383062783e-05,-2.6406169504630835e-07,-1.321954218997332e-07,0,a
0.0819,1.4802720697715338e-05,7.530541755551258e-08,-2.8012099669755917e-07,0,a
0.082,1.558812385896549e-05,-3.167607199537265e-07,1.580037036450609e-07,0,a
0.0821,1.5440199223201603e-05,2.0994941588887436e-07,-3.598069315120531e-08,0,a
0.0822,1.5432568945381954e-05,-3.2636661898103334e-08,2.4927378596450046e-07,0,a
0.0823,1.549021387327118e-05,4.3106063793977483e-07,-2.9481314902775416e-08,0,a
0.0824,1.6733381137020935e-05,1.215054711805481e-07,9.159974020058628e-08,0,a
0.0825,1.5797085358923595e-05,2.421625587036556e-07,-2.9848827312498326e-07,0,a
0.0826,1.6216701549382147e-05,-4.64404181435175e-07,-1.1397214783946636e-08,0,a
0.0827,1.534016859271541e-05,8.73138268287082e-08,-2.0274408547838396e-07,0,a
0.0828,1.605902683940972e-05,-3.6606969773149623e-07,3.285821411496908e-07,0,a
0.0829,1.5118492456187658e-05,5.213422420138974e-07,-9.979418076696936e-08,0,a
0.083,1.6904195318757105e-05,-2.1206871547219987e-07,2.7150279688271844e-07,0,a
0.0831,1.5422820692993113e-05,4.4843869291665903e-07,-3.294298266203736e-07,0,a
0.0832,1.646380853493764e-05,-4.669472378472234e-07,2.64014769555537e-07,0,a
0.0833,1.550335360521543e-05,5.799755931944113e-07,-1.3737612280092203e-07,0,a
0.0834,1.716274747257635e-05,3.6310324513892927e-08,3.0267977661266316e-07,0,a
0.0835,1.6572739508479318e-05,4.410920919907661e-07,-3.464782752669168e-07,0,a
0.0836,1.6826629881187726e-05,-4.5945923260633914e-07,-2.6985444896450084e-07,0,a
0.0837,1.578436977475734e-05,-7.732530223796096e-07,-2.4960369750772534e-07,0,a
0.0838,1.4252980441340485e-05,-3.077190005324101e-07,1.3356151600452727e-07,0,a
0.0839,1.59034728795905e-05,-5.8774684592757296e-08,5.295835108687779e-07,0,a
0.084,1.5608045720979063e-05,8.154975102267242e-07,1.645029847175512e-07,0,a
0.0841,1.6699472972020656e-05,1.8578995362024354e-07,1.5946367481490082e-07,0,a
0.0842,1.646084274045123e-05,4.1961633985194516e-07,-2.0561695612494412e-07,0,a
0.0843,1.68668947405349e-05,1.9864664185189173e-07,1.1962003574135418e-08,0,a
0.0844,1.7295412897576335e-05,2.216759643426498e-07,-1.7745389239356277e-07,0,a
0.0845,1.7125870633479173e-05,-1.1274533732874304e-07,8.524309375006883e-09,0,a
0.0846,1.652865872854868e-05,2.2421956997691238e-07,-6.880569856018291e-08,0,a
0.0847,1.796807160750707e-05,1.5258868662101053e-08,2.9646313146763543e-07,0,a
0.0848,1.7171647239465476e-05,7.766440570741632e-07,-2.3905444062190866e-07,0,a
0.0849,1.8858590899771165e-05,-4.929437518888137e-07,7.01716782560521e-09,0,a
0.085,1.6489240351840634e-05,3.63103721389167e-08,-3.984711081266055e-07,0,a
0.0851,1.7280578355882226e-05,-4.1876926730565324e-07,2.736691598780279e-07,0,a
0.0852,1.76022830978542e-05,3.280637277452701e-07,2.4913153749983157e-08,0,a
0.0853,1.7473431535076445e-05,1.1104983338886616e-07,9.131744062192127e-08,0,a
0.0854,1.761372785604883e-05,-1.4481694543988944e-07,-1.2635592368977978e-07,0,a
0.0855,1.7167832261534524e-05,-5.100404332406927e-08,-1.2847520069751903e-07,0,a
0.0856,1.7320419405104237e-05,-2.743757687036909e-07,2.039684902284275e-07,0,a
0.0857,1.6790600549937762e-05,4.67088525245393e-07,-9.937022950772315e-08,0,a
